1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,
Radix,0.000002,0.000002,0.000002,0.000006,0.000017,0.000048,0.000126,0.000311,0.000743,0.001782,0.004182,0.005857,0.012753,0.026520,0.057630,0.127161,0.278540,0.595778,1.267469,2.705979,5.809664,
Selection,0.000003,0.000000,0.000001,0.000000,0.000001,0.000003,0.000010,0.000036,0.000111,0.000411,0.001575,0.006064,0.024101,0.099863,0.388356,1.548690,6.144267,
